INSTNM,OPEID6,CONTROL,MAIN,CIPDEF,CIPFIELD,CIPCODE,CREDLEV,EARN_COUNT_NWNE_HI_1YR,EARN_CNTOVER150_HI_1YR,EARN_COUNT_WNE_HI_1YR,EARN_MDN_HI_1YR,EARN_COUNT_NWNE_HI_2YR,EARN_CNTOVER150_HI_2YR,EARN_COUNT_WNE_HI_2YR,EARN_MDN_HI_2YR,EARN_COUNT_PELL_WNE_1YR,EARN_PELL_WNE_MDN_1YR,EARN_COUNT_NOPELL_WNE_1YR,EARN_NOPELL_WNE_MDN_1YR,EARN_COUNT_MALE_WNE_1YR,EARN_MALE_WNE_MDN_1YR,EARN_COUNT_NOMALE_WNE_1YR,EARN_NOMALE_WNE_MDN_1YR,EARN_COUNT_NE_3YR,EARN_NE_MDN_3YR,EARN_COUNT_WNE_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_PELL_NE_3YR,EARN_PELL_NE_MDN_3YR,EARN_COUNT_NOPELL_NE_3YR,EARN_NOPELL_NE_MDN_3YR,EARN_COUNT_MALE_NE_3YR,EARN_MALE_NE_MDN_3YR,EARN_COUNT_NOMALE_NE_3YR,EARN_NOMALE_NE_MDN_3YR,EARN_COUNT_NWNE_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_GT_THRESHOLD_1YR,EARN_COUNT_HIGH_CRED_1YR,EARN_IN_STATE_1YR,EARN_COUNT_NWNE_4YR,EARN_COUNT_WNE_4YR,EARN_MDN_4YR,EARN_GT_THRESHOLD_4YR,EARN_COUNT_PELL_WNE_4YR,EARN_PELL_WNE_MDN_4YR,EARN_COUNT_NOPELL_WNE_4YR,EARN_NOPELL_WNE_MDN_4YR,EARN_COUNT_MALE_WNE_4YR,EARN_MALE_WNE_MDN_4YR,EARN_COUNT_NOMALE_WNE_4YR,EARN_NOMALE_WNE_MDN_4YR,EARN_COUNT_HIGH_CRED_4YR,EARN_IN_STATE_4YR
Brigham Young University,3670,"Private, nonprofit",1,BIOLOGICAL AND BIOMEDICAL SCIENCES.,26,2607,3,1.0,,23.0,31142.0,4.0,16.0,25.0,22192.0,,,,,,,,,29.0,24432.0,22.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,BIOLOGICAL AND BIOMEDICAL SCIENCES.,26,2609,3,12.0,89.0,154.0,20739.0,30.0,119.0,185.0,26121.0,135.0,20604.0,,,94.0,20196.0,48.0,20383.0,161.0,31293.0,116.0,87.0,151.0,31244.0,,,91.0,47523.0,,,16.0,142.0,20357.0,39.0,,,37.0,171.0,60978.0,128.0,154.0,60309.0,18.0,64613.0,114.0,69464.0,57.0,32473.0,65.0,79.0
Brigham Young University,3670,"Private, nonprofit",1,BIOLOGICAL AND BIOMEDICAL SCIENCES.,26,2611,3,3.0,,,,1.0,11.0,11.0,71015.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,BIOLOGICAL AND BIOMEDICAL SCIENCES.,26,2612,3,2.0,,,,2.0,13.0,17.0,25194.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,BIOLOGICAL AND BIOMEDICAL SCIENCES.,26,2613,3,5.0,33.0,48.0,30637.0,3.0,23.0,34.0,23649.0,41.0,24804.0,,,26.0,24060.0,23.0,33580.0,27.0,38397.0,18.0,,23.0,34871.0,,,,,16.0,32591.0,11.0,48.0,26908.0,25.0,,,4.0,29.0,50091.0,,23.0,45303.0,,,,,17.0,48762.0,,
Brigham Young University,3670,"Private, nonprofit",1,BIOLOGICAL AND BIOMEDICAL SCIENCES.,26,2615,3,3.0,30.0,54.0,21255.0,8.0,36.0,50.0,25194.0,52.0,27155.0,,,41.0,22871.0,,,37.0,43910.0,30.0,25.0,35.0,42095.0,,,29.0,47478.0,,,4.0,56.0,27544.0,20.0,,,2.0,29.0,73566.0,,26.0,68122.0,,,19.0,89937.0,,,,
Brigham Young University,3670,"Private, nonprofit",1,MATHEMATICS AND STATISTICS.,27,2701,3,0.0,,,,2.0,18.0,19.0,52107.0,,,,,,,,,22.0,47893.0,17.0,16.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,MATHEMATICS AND STATISTICS.,27,2703,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,MATHEMATICS AND STATISTICS.,27,2705,3,2.0,50.0,53.0,57692.0,3.0,35.0,35.0,64791.0,53.0,56940.0,,,44.0,59749.0,16.0,49676.0,44.0,74902.0,35.0,33.0,,,,,33.0,86044.0,,,4.0,60.0,58223.0,,,,2.0,42.0,89001.0,,40.0,91552.0,,,34.0,99760.0,,,,19.0
Brigham Young University,3670,"Private, nonprofit",1,MILITARY TECHNOLOGIES AND APPLIED SCIENCES.,29,2902,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,MULTI/INTERDISCIPLINARY STUDIES.,30,3001,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
